age,income,cibil,loan,existing_emi,tenure,property_age,property_value,foir,ltv,loan_to_income,employment_type,city_type,approved
31,130284,681,6952075,12730,16,13,7567550,0.607,0.9187,4.4467,salaried,non_metro,1
58,86697,754,6682542,25496,28,4,6972364,0.8963,0.9584,6.4233,salaried,non_metro,1
60,34750,759,2297065,5561,14,22,7253307,0.8342,0.3167,5.5085,salaried,metro,0
55,153632,842,6633679,38109,19,5,9026718,0.6304,0.7349,3.5983,salaried,metro,1
64,128270,779,5341511,22151,7,9,7320327,0.8322,0.7297,3.4702,self_employed,metro,1
65,60489,683,3927965,19708,8,15,9372293,1.2604,0.4191,5.4114,self_employed,metro,0
42,73481,722,3454684,13180,26,25,7978717,0.5538,0.433,3.9179,salaried,metro,0
24,222057,735,2004350,7365,29,1,9771331,0.1031,0.2051,0.7522,salaried,metro,1
52,198760,605,4632322,31686,16,21,6604968,0.3819,0.7013,1.9422,salaried,metro,1
45,177140,811,817545,32975,15,1,9862063,0.2316,0.0829,0.3846,salaried,non_metro,1
62,65573,843,659327,10401,9,24,7906813,0.2921,0.0834,0.8379,self_employed,metro,0
48,98388,713,6008015,14710,30,18,6465584,0.619,0.9292,5.0887,self_employed,metro,0
45,120086,696,4055165,12985,16,2,8397326,0.4305,0.4829,2.8141,salaried,metro,1
43,81779,816,3609772,1204,7,17,6911361,0.7138,0.5223,3.6784,self_employed,metro,1
32,30619,731,5830626,39921,24,2,6232031,2.8559,0.9356,15.8688,salaried,metro,0
36,84165,744,4503714,22796,29,24,9487200,0.6854,0.4747,4.4592,self_employed,metro,1
41,126831,628,1499356,4935,24,19,3363468,0.1353,0.4458,0.9851,salaried,metro,1
38,140108,759,3037893,10820,23,27,3520387,0.2563,0.8629,1.8069,salaried,metro,1
32,116821,611,5909338,34866,14,26,8848450,0.8144,0.6678,4.2154,salaried,metro,0
60,231097,660,7575688,34239,21,28,7838810,0.4275,0.9664,2.7318,self_employed,non_metro,1
32,191280,634,2128322,35815,13,7,9927360,0.3053,0.2144,0.9272,self_employed,non_metro,0
39,77026,600,3242891,37646,5,5,9623889,1.3525,0.337,3.5084,salaried,non_metro,0
47,205896,840,6240656,5991,18,8,9461837,0.3035,0.6596,2.5258,self_employed,non_metro,1
58,73953,718,1638588,15102,18,3,8447425,0.4048,0.194,1.8464,self_employed,metro,0
41,80797,675,7915651,16907,22,12,9810783,1.0306,0.8068,8.1641,self_employed,non_metro,1
36,102222,827,6187776,9047,17,15,9283777,0.6504,0.6665,5.0444,self_employed,non_metro,0
25,97066,616,5966365,9545,24,25,7262514,0.5993,0.8215,5.1223,self_employed,metro,0
39,82334,837,3164941,38500,29,10,8158310,0.7654,0.3879,3.2034,self_employed,metro,1
59,172375,795,6012884,28753,8,18,8145353,0.6688,0.7382,2.9069,salaried,non_metro,1
21,58477,728,4235191,2365,11,19,9402052,0.8868,0.4505,6.0354,self_employed,metro,1
22,179828,637,785325,13072,30,6,2872570,0.1063,0.2734,0.3639,self_employed,metro,1
36,199681,810,4286223,11123,11,4,6302942,0.3066,0.68,1.7888,self_employed,metro,1
38,83798,793,7955781,24660,9,26,9653440,1.555,0.8241,7.9117,salaried,metro,0
62,109698,694,985279,13874,14,3,7861291,0.2181,0.1253,0.7485,salaried,metro,1
53,181053,755,673369,22514,11,20,5577622,0.1678,0.1207,0.3099,salaried,metro,1
54,158060,639,732587,33340,8,18,3701784,0.2776,0.1979,0.3862,salaried,metro,1
60,207552,689,3284392,14393,20,29,9610429,0.2067,0.3418,1.3187,salaried,non_metro,1
35,161901,840,4558276,1642,28,2,9799211,0.2301,0.4652,2.3462,salaried,non_metro,1
60,25452,647,826591,1025,26,8,2507191,0.2989,0.3297,2.7064,self_employed,non_metro,1
64,177422,777,2693826,19222,9,25,6307826,0.31,0.4271,1.2653,self_employed,non_metro,1
51,74544,775,2513900,28298,29,14,5497485,0.6409,0.4573,2.8103,self_employed,metro,1
21,188798,628,6091463,6256,17,11,6727406,0.3326,0.9055,2.6887,salaried,metro,1
37,150914,822,3618904,35546,11,5,6205357,0.5158,0.5832,1.9983,self_employed,non_metro,0
36,172486,666,1224134,19721,26,11,6673316,0.1709,0.1834,0.5914,self_employed,non_metro,1
60,235719,813,5806953,21199,6,4,5848082,0.5279,0.993,2.0529,salaried,non_metro,0
42,94526,655,2226902,13668,28,15,6874391,0.3286,0.3239,1.9632,self_employed,metro,0
56,57473,807,506084,2577,21,21,5393784,0.1199,0.0938,0.7338,salaried,non_metro,1
21,196504,639,365194,22332,16,28,7603847,0.1314,0.048,0.1549,self_employed,non_metro,1
22,191375,674,1878821,5840,23,8,8322822,0.1116,0.2257,0.8181,self_employed,metro,0
56,62231,827,419483,13269,7,12,6272668,0.32,0.0669,0.5617,self_employed,non_metro,1
49,146588,630,2848118,7623,25,23,5994822,0.2085,0.4751,1.6191,salaried,non_metro,1
24,209636,631,5118789,6776,16,24,6956885,0.2654,0.7358,2.0348,salaried,non_metro,1
27,92271,724,7741962,20920,5,20,8325004,1.9482,0.93,6.9921,salaried,metro,1
23,98932,776,1675396,24149,8,24,6222845,0.4878,0.2692,1.4112,salaried,metro,1
51,226147,672,3057303,3214,5,0,3185017,0.2916,0.9599,1.1266,salaried,non_metro,1
32,241665,639,3404823,38022,27,8,7150941,0.2684,0.4761,1.1741,self_employed,non_metro,0
48,89579,622,5493062,1058,17,26,9329054,0.581,0.5888,5.1101,salaried,metro,0
40,21639,621,6452610,39669,23,5,9731090,4.2966,0.6631,24.8495,self_employed,metro,0
39,120476,831,2284186,4488,5,24,5731064,0.4262,0.3986,1.58,self_employed,non_metro,1
54,172725,647,5188632,39297,24,16,8307486,0.4724,0.6246,2.5033,self_employed,metro,0
22,177006,724,6176640,32692,27,6,8174738,0.4598,0.7556,2.9079,salaried,metro,1
40,215691,718,600541,9607,21,10,4501784,0.0683,0.1334,0.232,salaried,metro,1
52,175112,744,6155796,26634,16,26,7461340,0.4876,0.825,2.9295,salaried,non_metro,1
33,175851,699,6217726,20003,28,17,9227684,0.39,0.6738,2.9465,salaried,metro,1
42,64298,797,5958911,7271,12,10,6201226,1.1418,0.9609,7.723,salaried,non_metro,1
44,162526,740,2789020,12146,11,23,4592084,0.2753,0.6074,1.43,self_employed,non_metro,0
55,209188,790,4509464,3091,28,23,4703664,0.1832,0.9587,1.7964,self_employed,metro,1
31,43034,733,812826,18534,24,20,2731790,0.5846,0.2975,1.574,self_employed,metro,1
33,38626,773,5684159,31911,12,22,6619176,2.4597,0.8587,12.2632,self_employed,non_metro,1
46,197250,671,5296000,24325,21,28,5869592,0.3521,0.9023,2.2374,self_employed,metro,1
31,184158,788,377273,21546,5,22,2707832,0.159,0.1393,0.1707,self_employed,metro,1
59,155189,620,7845671,37368,21,11,7865204,0.6716,0.9975,4.213,salaried,non_metro,1
25,168265,604,7461173,29017,22,23,8238173,0.5442,0.9057,3.6952,self_employed,non_metro,0
29,129379,793,2542831,3299,5,1,4797469,0.4287,0.53,1.6378,self_employed,non_metro,1
31,194122,742,2469445,13817,16,6,7117069,0.1926,0.347,1.0601,salaried,metro,1
40,45175,612,1525169,8029,29,27,8048625,0.4393,0.1895,2.8134,salaried,metro,1
23,212351,751,6188022,24530,20,18,7186276,0.3684,0.8611,2.4284,salaried,metro,1
52,203884,605,7149051,34124,8,3,8711586,0.672,0.8206,2.922,salaried,non_metro,1
23,87714,708,2286318,32820,7,11,5741144,0.787,0.3982,2.1721,self_employed,non_metro,1
55,69429,836,6682438,27463,26,25,8270459,1.1621,0.808,8.0207,salaried,non_metro,1
48,89063,775,2551708,6963,19,16,7549394,0.3319,0.338,2.3875,salaried,non_metro,1
51,197499,636,799546,5358,28,2,4018562,0.0588,0.199,0.3374,self_employed,non_metro,1
60,198588,703,665561,563,16,29,3309866,0.0348,0.2011,0.2793,self_employed,non_metro,0
52,122977,606,7204250,34136,13,12,7485256,0.8992,0.9625,4.8818,salaried,metro,0
30,78110,763,3742383,30680,12,20,4480639,0.9246,0.8352,3.9926,salaried,metro,1
38,211057,632,5595712,5254,21,7,7331182,0.2508,0.7633,2.2094,salaried,metro,1
29,71834,665,4388152,6871,9,3,5441912,0.9069,0.8064,5.0906,salaried,non_metro,0
23,91257,839,7816653,26872,20,3,8739703,1.0378,0.8944,7.1379,self_employed,metro,0
23,217246,736,7232290,34145,5,13,7846862,0.8402,0.9217,2.7742,salaried,non_metro,0
54,222281,698,303460,15111,11,28,6244565,0.0839,0.0486,0.1138,self_employed,metro,1
46,31763,604,3460832,4549,28,24,5189925,0.9944,0.6668,9.0798,salaried,non_metro,1
21,65463,816,4067555,11194,6,9,7504442,1.2757,0.542,5.1779,self_employed,metro,1
26,193795,660,6572938,8520,18,13,7844196,0.3511,0.8379,2.8264,self_employed,non_metro,0
28,52744,606,6701893,11839,7,1,7663441,2.2367,0.8745,10.5887,salaried,non_metro,1
21,246687,646,6405947,26141,6,14,9082963,0.5676,0.7053,2.164,salaried,metro,1
34,63906,601,4110238,2220,18,30,9006732,0.6171,0.4564,5.3597,salaried,metro,1
41,69801,802,1665371,23828,23,2,6223084,0.5385,0.2676,1.9882,self_employed,metro,0
51,136491,600,6724796,35551,10,24,8011859,0.8713,0.8394,4.1058,salaried,metro,1
37,43241,744,4072657,421,29,13,9923511,0.7395,0.4104,7.8488,self_employed,metro,0
62,88975,662,2031771,39125,23,6,6076972,0.6284,0.3343,1.9029,self_employed,metro,1
31,87133,671,1877259,12596,26,21,3132315,0.3161,0.5993,1.7954,self_employed,metro,0
44,40204,752,6121373,27295,11,19,6296426,2.4583,0.9722,12.6882,self_employed,metro,0
40,47311,719,5971361,35603,15,18,8469467,1.9954,0.705,10.5179,salaried,non_metro,0
34,84462,699,2477766,8465,22,5,9661853,0.3462,0.2564,2.4447,salaried,metro,1
38,242971,842,5347628,12091,20,29,8082106,0.2408,0.6617,1.8341,salaried,metro,1
48,242203,779,3344800,8401,24,24,9816602,0.1472,0.3407,1.1508,salaried,non_metro,1
54,48555,617,422702,26653,15,30,1764081,0.6347,0.2396,0.7255,self_employed,non_metro,0
35,222227,681,2913817,13270,28,9,6855985,0.1622,0.425,1.0927,self_employed,metro,1
52,143668,677,6843781,2740,12,29,8258064,0.5479,0.8287,3.9697,salaried,non_metro,0
62,197369,746,7315606,20641,24,3,9405570,0.4067,0.7778,3.0888,self_employed,metro,0
36,197954,687,4216158,29724,18,19,6964250,0.343,0.6054,1.7749,salaried,metro,1
65,171349,802,2763118,5188,24,22,9884144,0.1617,0.2796,1.3438,self_employed,metro,1
54,48082,762,4497116,23886,21,20,8660625,1.2939,0.5193,7.7942,salaried,non_metro,0
29,191905,600,1485574,29356,20,6,3794560,0.2202,0.3915,0.6451,salaried,non_metro,1
49,174202,770,1952256,4688,9,9,9992900,0.1757,0.1954,0.9339,self_employed,non_metro,1
36,68306,775,663208,12869,24,18,5209594,0.2675,0.1273,0.8091,salaried,metro,1
56,59059,730,844359,33593,28,18,4293853,0.6805,0.1966,1.1914,salaried,metro,1
49,157141,674,3541223,23344,29,1,7273789,0.3232,0.4868,1.8779,salaried,metro,1
25,48362,739,5471287,23906,27,16,9125994,1.3863,0.5995,9.4277,salaried,non_metro,0
21,194111,829,928788,32137,14,25,4533791,0.2144,0.2049,0.3987,self_employed,non_metro,1
35,177389,777,4467128,36408,13,12,5223803,0.4725,0.8551,2.0986,salaried,non_metro,1
46,133622,844,3684125,24902,23,2,6785678,0.4141,0.5429,2.2976,self_employed,metro,1
45,116091,820,6305438,3329,26,17,7390390,0.4612,0.8532,4.5262,salaried,metro,0
53,224949,652,6221400,17803,10,8,7538456,0.422,0.8253,2.3047,salaried,non_metro,1
34,151218,714,4505644,6022,23,29,9693903,0.286,0.4648,2.483,self_employed,non_metro,1
39,70248,713,1229823,34824,7,2,1523225,0.773,0.8074,1.4589,salaried,non_metro,1
52,146681,604,672800,32079,26,26,8258607,0.2552,0.0815,0.3822,salaried,non_metro,0
65,59581,693,555814,3723,12,19,8117286,0.166,0.0685,0.7774,self_employed,metro,0
29,102175,614,810874,12944,8,6,9500131,0.2409,0.0854,0.6613,self_employed,non_metro,1
27,216260,672,6430620,158,15,23,8506425,0.2935,0.756,2.478,salaried,metro,1
22,69619,692,848922,26093,6,8,2576989,0.5916,0.3294,1.0162,salaried,metro,1
57,70414,819,2904775,37928,8,29,3844626,1.1324,0.7555,3.4377,salaried,metro,1
27,134247,641,5544948,5167,15,20,7274537,0.4452,0.7622,3.442,salaried,metro,1
42,59788,761,622466,17596,20,24,2610326,0.3847,0.2385,0.8676,self_employed,metro,1
46,239945,824,3294971,36344,16,21,4164648,0.2825,0.7912,1.1443,self_employed,metro,1
48,126179,734,5297527,39614,22,9,9969588,0.6659,0.5314,3.4987,salaried,non_metro,0
44,169704,674,412069,2271,11,21,6627073,0.0418,0.0622,0.2023,salaried,non_metro,1
36,209387,718,6591921,7238,14,12,7777351,0.3557,0.8476,2.6235,salaried,metro,1
42,77641,665,5707862,36793,21,10,7072118,1.1004,0.8071,6.1263,salaried,non_metro,1
49,87657,688,5609000,29172,9,27,9742132,1.1825,0.5757,5.3323,self_employed,non_metro,0
53,174774,825,328905,25303,24,30,9870344,0.1601,0.0333,0.1568,salaried,metro,1
61,45867,792,7241548,4765,30,25,9294464,1.3179,0.7791,13.1568,salaried,metro,0
23,96141,732,7684285,12736,11,23,9650101,1.0665,0.7963,6.6606,salaried,metro,0
54,100258,780,4186897,25278,21,28,7823824,0.608,0.5351,3.4801,salaried,non_metro,1
64,105138,814,552289,3006,26,27,5269243,0.0704,0.1048,0.4377,self_employed,non_metro,1
22,208365,607,5863486,17774,27,19,6719043,0.3072,0.8727,2.345,self_employed,non_metro,1
39,225684,677,992945,31715,12,15,3713698,0.1894,0.2674,0.3666,salaried,metro,0
64,57863,802,6410145,1906,29,8,8077897,0.8912,0.7935,9.2318,self_employed,non_metro,0
37,195371,682,527458,1511,8,22,2578384,0.0466,0.2046,0.225,self_employed,non_metro,1
51,75238,670,4066042,13853,27,21,7642198,0.6102,0.5321,4.5035,self_employed,metro,1
40,249192,683,4570366,35721,14,27,5529843,0.3304,0.8265,1.5284,self_employed,metro,0
55,155820,628,4258866,37262,23,18,7213910,0.4649,0.5904,2.2777,self_employed,non_metro,1
45,111590,701,6679270,14473,11,4,6904038,0.8292,0.9674,4.988,self_employed,non_metro,1
65,147391,695,1567018,10968,30,8,9671792,0.1562,0.162,0.886,self_employed,metro,1
47,97819,610,7904856,38397,15,21,9513516,1.1883,0.8309,6.7343,self_employed,non_metro,1
43,173750,699,1724092,39373,11,4,8164984,0.3426,0.2112,0.8269,self_employed,non_metro,1
27,43819,660,6425352,33105,6,16,7613227,3.3624,0.844,12.2195,self_employed,metro,0
45,219800,735,3413347,11968,16,10,8032843,0.2027,0.4249,1.2941,salaried,metro,1
65,66674,641,7074050,1143,22,19,9387432,0.9067,0.7536,8.8416,salaried,non_metro,0
23,79030,779,2642826,25647,12,19,6538056,0.6957,0.4042,2.7867,self_employed,metro,1
56,63825,668,7106166,33613,30,27,8523242,1.3827,0.8337,9.2782,salaried,non_metro,0
50,126704,617,2741485,3978,28,30,7728172,0.2004,0.3547,1.8031,salaried,non_metro,1
37,220351,799,5871922,22026,8,26,9244632,0.4835,0.6352,2.2207,salaried,metro,1
63,115850,840,3821785,26794,23,16,6172333,0.5038,0.6192,2.7491,salaried,non_metro,1
36,146463,757,1487393,26921,12,20,4263594,0.2965,0.3489,0.8463,salaried,non_metro,1
37,51274,648,6276863,12597,21,30,7847701,1.289,0.7998,10.2015,salaried,metro,1
41,54645,693,3213469,19038,22,17,8243628,0.8414,0.3898,4.9005,salaried,non_metro,1
59,207690,784,2590325,35876,30,11,3297473,0.2686,0.7855,1.0393,self_employed,metro,1
51,52033,677,5959558,35406,18,22,9972058,1.7175,0.5976,9.5445,self_employed,metro,0
43,190692,676,7710601,21096,20,1,9822844,0.4615,0.785,3.3696,self_employed,metro,1
55,111764,620,681943,18358,29,17,9349209,0.2115,0.0729,0.5085,self_employed,non_metro,0
41,130604,830,5824989,11267,15,4,7475232,0.5255,0.7792,3.7167,salaried,metro,1
37,229820,797,7558258,4839,27,21,9398812,0.2803,0.8042,2.7406,salaried,non_metro,1
49,88270,690,4432408,33000,9,26,6308279,1.0407,0.7026,4.1845,salaried,non_metro,1
52,54216,783,5110919,32782,25,13,5964290,1.3637,0.8569,7.8558,self_employed,metro,1
24,196439,691,4354627,6954,20,24,7012237,0.2278,0.621,1.8473,self_employed,metro,1
49,103465,836,3087357,37809,21,20,6563369,0.6197,0.4704,2.4866,self_employed,metro,1
42,96790,705,3989137,22997,28,27,8076733,0.5596,0.4939,3.4345,self_employed,non_metro,1
52,206073,615,5489430,16163,25,14,9801611,0.2929,0.5601,2.2199,salaried,non_metro,1
28,127046,805,5578504,27553,25,26,9709568,0.5704,0.5745,3.6591,self_employed,metro,0
58,185806,606,344032,7469,23,25,5960497,0.0555,0.0577,0.1543,salaried,metro,0
35,78396,627,5054374,14622,29,6,5907072,0.686,0.8556,5.3727,salaried,metro,1
25,78491,816,3731060,29298,11,10,9784395,0.9288,0.3813,3.9612,salaried,metro,1
27,208784,630,3580083,30533,29,29,3802047,0.2791,0.9416,1.4289,salaried,non_metro,0
32,246706,658,6033552,25313,7,0,6989546,0.4899,0.8632,2.038,salaried,metro,0
40,90548,770,881882,13617,7,4,8746550,0.3046,0.1008,0.8116,self_employed,non_metro,1
32,28933,834,4984723,10573,20,10,5722797,1.8606,0.871,14.3571,salaried,metro,1
64,163779,722,7095832,4003,16,25,7572240,0.438,0.9371,3.6105,self_employed,metro,1
65,221430,850,3010734,36453,22,28,7530993,0.2786,0.3998,1.1331,self_employed,non_metro,1
54,62388,791,3980138,33600,10,3,4964037,1.3296,0.8018,5.3164,self_employed,metro,1
65,173773,733,4951256,14012,5,4,9682510,0.6652,0.5114,2.3744,self_employed,metro,1
22,44522,820,4744139,28576,8,25,4836268,2.1754,0.981,8.8798,salaried,metro,1
45,123713,688,3815942,39613,13,18,6560074,0.6475,0.5817,2.5704,salaried,metro,1
35,138103,613,6523375,30049,30,11,7419918,0.5808,0.8792,3.9363,self_employed,non_metro,0
22,163990,677,543991,14561,30,19,5224245,0.1143,0.1041,0.2764,salaried,non_metro,1
28,248610,636,1240153,21000,14,20,8270639,0.1353,0.1499,0.4157,self_employed,metro,1
49,183780,634,6759712,31776,26,4,7754700,0.4658,0.8717,3.0651,salaried,metro,0
50,170987,796,1543709,16682,9,16,6962263,0.2175,0.2217,0.7524,self_employed,metro,1
52,41549,793,1167218,21315,25,17,6228472,0.7392,0.1874,2.341,self_employed,non_metro,1
30,195554,632,4615687,8463,28,27,8706205,0.2277,0.5302,1.9669,self_employed,non_metro,1
59,20226,627,831756,36817,24,16,4460797,2.1555,0.1865,3.4269,self_employed,metro,1
30,147332,706,5675540,14076,14,25,8223137,0.4884,0.6902,3.2102,salaried,metro,1
54,30619,658,7333954,15264,20,5,9813142,2.5772,0.7474,19.9602,salaried,metro,1
34,84427,634,1981194,27256,11,11,4140589,0.5971,0.4785,1.9555,self_employed,metro,0
21,80702,848,7724896,30219,8,18,8042133,1.7521,0.9606,7.9768,salaried,non_metro,0
64,134993,605,4580874,25591,16,16,9107644,0.5135,0.503,2.8278,self_employed,metro,1
63,171922,602,5974406,39220,30,1,7879565,0.4953,0.7582,2.8959,self_employed,metro,0
22,146421,828,1598533,6425,7,11,5152981,0.2168,0.3102,0.9098,salaried,non_metro,1
65,104559,729,7956282,36477,24,0,8720810,0.9691,0.9123,6.3411,self_employed,metro,0
21,140591,677,6471532,32736,8,30,7961511,0.8953,0.8129,3.8359,self_employed,metro,1
21,221093,835,2991136,19167,28,29,9202539,0.1924,0.325,1.1274,salaried,metro,1
50,23657,753,6694447,35634,12,13,7649797,4.6475,0.8751,23.5816,self_employed,non_metro,0
42,153738,637,6418989,18863,21,26,9586330,0.4785,0.6696,3.4794,self_employed,non_metro,0
23,163995,658,3620589,33260,17,12,9706889,0.4078,0.373,1.8398,salaried,non_metro,1
51,83984,637,5913641,15846,16,27,6538953,0.8608,0.9044,5.8678,self_employed,non_metro,0
61,120756,807,4540005,4254,11,26,6240962,0.4746,0.7275,3.133,self_employed,metro,1
23,203330,826,4073933,6281,30,29,8152387,0.185,0.4997,1.6697,self_employed,metro,1
45,224237,817,5393974,26028,30,3,7472321,0.301,0.7219,2.0046,self_employed,non_metro,1
46,68852,762,1983081,10385,11,18,9240112,0.4874,0.2146,2.4002,self_employed,non_metro,0
57,171745,643,7869797,4051,24,9,8260053,0.3971,0.9528,3.8185,salaried,metro,1
24,69186,829,7277521,19327,19,8,8896226,1.2107,0.818,8.7656,self_employed,metro,0
41,217816,746,410263,10042,18,17,1422233,0.0632,0.2885,0.157,self_employed,non_metro,1
44,184675,761,6695243,13791,22,17,9062318,0.3786,0.7388,3.0212,salaried,metro,1
35,24596,686,4478329,33270,8,27,9859716,3.9731,0.4542,15.173,self_employed,metro,1
57,180769,747,7206598,18983,28,2,8812200,0.4165,0.8178,3.3222,salaried,metro,1
48,67940,766,1514176,28507,19,19,4581137,0.6169,0.3305,1.8572,salaried,non_metro,1
28,147883,796,6590220,2456,7,13,8826768,0.7223,0.7466,3.7136,self_employed,metro,0
38,175047,670,1889367,22199,28,9,5935700,0.2111,0.3183,0.8995,self_employed,non_metro,1
30,170815,760,305002,35365,27,13,9222878,0.2211,0.0331,0.1488,salaried,non_metro,1
23,216279,799,541748,36624,10,1,5769621,0.2004,0.0939,0.2087,salaried,metro,1
53,108022,612,7344651,30778,21,25,9211727,0.8644,0.7973,5.666,self_employed,metro,0
53,226571,820,554754,12177,26,24,8790298,0.0732,0.0631,0.204,self_employed,metro,1
30,123285,755,5347620,2008,10,21,6934511,0.5541,0.7712,3.6147,self_employed,metro,1
27,179713,643,2092587,5846,26,14,4084634,0.1253,0.5123,0.9703,salaried,non_metro,1
48,223754,739,2823357,20334,27,15,9326302,0.1904,0.3027,1.0515,salaried,metro,1
33,88138,669,6920489,26600,8,14,9214474,1.4319,0.751,6.5432,self_employed,non_metro,1
64,153001,747,3787570,19823,30,7,9339618,0.3199,0.4055,2.0629,salaried,non_metro,1
57,235075,688,3391807,17117,24,15,9615462,0.1904,0.3527,1.2024,salaried,metro,1
29,31825,632,6327626,10037,22,12,9314705,1.9823,0.6793,16.5688,self_employed,non_metro,0
21,76178,741,1911962,10356,16,25,5561593,0.3755,0.3438,2.0916,self_employed,non_metro,1
55,222435,760,500640,20114,14,20,9055989,0.1134,0.0553,0.1876,salaried,metro,1
23,176216,744,4393536,14865,6,3,5416514,0.5276,0.8111,2.0777,self_employed,metro,0
27,86478,655,2001856,37466,27,17,6721466,0.6158,0.2978,1.9291,self_employed,metro,1
39,246107,664,3705840,26396,23,28,5666070,0.2316,0.654,1.2548,self_employed,non_metro,1
52,66265,749,5594873,3488,9,22,6028082,1.1738,0.9281,7.036,self_employed,non_metro,1
44,225587,705,4330269,11958,5,19,8757412,0.4468,0.4945,1.5996,salaried,non_metro,1
47,53918,850,4061584,11061,29,4,7517527,0.7888,0.5403,6.2774,salaried,non_metro,1
55,164030,621,4094720,37577,21,17,6980021,0.4418,0.5866,2.0803,self_employed,non_metro,0
29,140612,758,7058383,2984,11,2,8692905,0.6079,0.812,4.1831,salaried,non_metro,0
53,172608,807,6770616,13438,5,30,7366316,0.8826,0.9191,3.2688,salaried,non_metro,1
42,38030,766,3275586,30626,5,7,3295838,2.5724,0.9939,7.1776,self_employed,non_metro,1
24,191726,764,5839523,16907,14,9,8052649,0.3988,0.7252,2.5381,self_employed,non_metro,1
26,37809,629,7533952,34955,23,30,8457444,2.5706,0.8908,16.6053,self_employed,metro,0
25,191079,835,1737726,29497,26,21,5754807,0.2268,0.302,0.7579,salaried,metro,0
21,167688,641,5025227,29214,6,2,9734902,0.707,0.5162,2.4973,self_employed,metro,0
43,114392,646,4533459,11594,21,2,8868568,0.4391,0.5112,3.3026,self_employed,non_metro,0
61,80145,833,1619622,36324,26,8,9062516,0.6142,0.1787,1.6841,salaried,non_metro,0
51,212699,681,5971030,7495,27,12,9810226,0.2566,0.6087,2.3394,salaried,metro,0
57,152639,838,6971427,29239,29,29,9371947,0.5454,0.7439,3.8061,self_employed,metro,0
37,238823,738,5046691,31281,19,2,7592681,0.3181,0.6647,1.761,self_employed,metro,1
22,176676,775,2037304,20898,20,8,6826454,0.2184,0.2984,0.9609,salaried,metro,1
43,141653,673,4338043,32304,7,5,4643090,0.713,0.9343,2.552,self_employed,metro,0
64,170822,685,7001069,2458,13,3,7200145,0.4493,0.9724,3.4154,self_employed,metro,0
49,56980,791,783122,26874,13,14,2323935,0.6175,0.337,1.1453,salaried,non_metro,1
65,90694,734,6845893,20594,21,8,7444947,0.8704,0.9195,6.2903,salaried,metro,0
29,96391,694,4445957,14143,25,26,6092133,0.5181,0.7298,3.8437,salaried,metro,1
28,148066,784,2927311,25623,5,26,5877919,0.5787,0.498,1.6475,self_employed,non_metro,1
45,102392,735,663931,38500,10,13,5568492,0.4564,0.1192,0.5404,salaried,non_metro,1
55,176535,724,6659149,17499,26,8,6865253,0.3995,0.97,3.1435,self_employed,non_metro,1
32,133133,696,3487463,17207,20,24,6478987,0.3566,0.5383,2.1829,salaried,non_metro,1
34,72959,841,6445748,37078,20,2,7519904,1.2749,0.8572,7.3623,salaried,metro,1
62,159278,705,616418,5885,10,28,1883820,0.0849,0.3272,0.3225,salaried,non_metro,1
61,219680,777,3059791,5741,29,14,7668138,0.134,0.399,1.1607,self_employed,metro,1
49,24537,748,6516736,32624,27,11,7915550,3.4235,0.8233,22.1323,salaried,metro,0
35,92075,606,1386047,30080,23,10,9252905,0.451,0.1498,1.2545,self_employed,metro,1
60,206881,602,3541263,17893,22,22,5556709,0.23,0.6373,1.4264,self_employed,metro,1
26,181704,774,5685087,25701,27,2,8656400,0.3881,0.6567,2.6073,self_employed,non_metro,0
34,150950,742,6445527,38312,19,12,9278204,0.6319,0.6947,3.5583,salaried,metro,1
64,55377,753,657927,30835,15,6,4452649,0.6738,0.1478,0.9901,salaried,non_metro,1
52,63274,652,5478621,30649,9,28,7091314,1.6342,0.7726,7.2155,self_employed,non_metro,1
64,202206,629,723683,22145,18,22,9172226,0.1419,0.0789,0.2982,self_employed,metro,0
53,51556,710,402517,10197,29,27,1294073,0.2583,0.311,0.6506,salaried,non_metro,1
54,240071,619,2634893,6952,29,10,4500991,0.114,0.5854,0.9146,salaried,non_metro,1
30,231077,640,1136027,27666,29,10,2841658,0.1578,0.3998,0.4097,salaried,metro,1
59,154816,701,3149526,10526,10,16,6608887,0.3202,0.4766,1.6953,salaried,metro,1
52,231438,752,4579565,6311,25,15,8058028,0.1866,0.5683,1.649,self_employed,metro,1
34,74502,678,3260697,28946,12,29,9858967,0.8744,0.3307,3.6472,self_employed,metro,1
48,57809,601,7776927,4591,13,23,9176081,1.507,0.8475,11.2107,salaried,non_metro,0
47,167591,653,1337124,11151,10,15,7311929,0.1655,0.1829,0.6649,salaried,non_metro,1
26,149705,735,7348430,28709,28,11,7791192,0.5753,0.9432,4.0905,salaried,non_metro,0
22,221571,618,4024297,10710,9,29,5740868,0.2895,0.701,1.5135,salaried,metro,1
31,69922,702,1720503,15163,30,14,2786838,0.4061,0.6174,2.0505,salaried,metro,1
55,246775,767,2976035,13342,25,1,7226910,0.1512,0.4118,1.005,salaried,non_metro,1
63,94329,663,7849029,37938,9,22,8585544,1.5072,0.9142,6.9341,salaried,metro,0
61,28100,668,7592613,26764,28,9,8861750,3.0634,0.8568,22.5166,salaried,metro,0
41,29353,749,2202886,13526,12,18,7337343,1.2939,0.3002,6.254,self_employed,metro,0
53,29904,741,3870872,11875,13,14,8723239,1.7707,0.4437,10.7869,self_employed,metro,0
